layer,geodesic_radius,tuned_v_loc
1,0.02311477126785564,113.26237921249265
2,0.04622954253571128,113.26237921249265
3,0.06934431380356693,113.26237921249265
4,0.09245908507142256,113.26237921249265
5,0.11557385633927819,113.26237921249265
6,0.13868862760713385,113.26237921249265
7,0.16180339887498948,113.26237921249265
8,0.18491817014284512,113.26237921249265
9,0.20803294141070075,113.26237921249265
10,0.23114771267855638,113.26237921249265
11,0.25426248394641204,113.26237921249265
12,0.2773772552142677,113.26237921249265
